here,is,a,sample,header,to,try
3670,4726,7371,4752,3057,1667,6467
7543,2440,5052,0450,0426,7106,7666
0160,5077,2421,3576,0104,1231,6057
6002,0242,6477,0774,4072,0407,4403
6744,5401,7052,6415,2467,4713,7643
3255,1117,4745,3462,4220,2764,3735
2465,6614,4056,2124,6265,3475,0303
0700,5261,5445,6630,7633,4276,1514
2325,3441,4506,1522,0525,2205,2666
0656,2136,5041,7723,7305,4033,5025
3117,2001,4402,6126,4411,2276,7365
4530,6664,7254,4306,5145,4624,0240
4301,2766,7236,1012,7232,1612,1135
1071,7321,1127,0101,0401,3132,6745
3343,3412,4153,7232,6621,6527,5265
6530,5512,3231,1252,3161,7753,4630
3732,3572,1212,2453,6077,5703,5114
4326,0370,1231,3672,1407,4364,3301
2307,0604,3432,2521,4762,6625,4446
0067,3530,3577,3060,1361,6532,6644
6732,5614,6236,5611,1725,0527,4252
5476,5200,2300,2625,4207,5753,5553
0706,5222,7733,4120,5223,6215,5617
2076,0630,1002,3337,4766,0772,3017
2107,6321,0547,3142,4664,4050,6757
7355,1536,7120,2641,1201,2156,5152
3240,7732,0756,2137,4600,5221,6613
7775,5754,0342,6257,3042,2664,2724
6763,1666,2563,4207,1731,4202,2014
4727,6120,6234,0560,2723,7764,5301
4700,3736,1251,4624,4006,6031,3055
1566,4027,5377,6411,1763,2317,0373
2407,5156,3100,5404,7066,3537,6722
7560,1120,3115,0325,7404,6017,4647
6220,1061,3373,0543,1230,4600,6066
6542,4412,5201,6723,1762,5504,0357
6302,3513,3516,4702,4702,7633,0424
0043,6007,0353,3267,5334,7361,6717
7501,4274,1465,4077,3305,2731,2045
3002,4210,7765,4670,4213,1255,1517
5325,1407,6610,3730,2723,5632,1675
3612,7630,2001,7165,7614,3711,2245
5016,1045,0664,5711,3121,3500,1115
3046,5064,7656,1605,2106,3615,7642
7402,4674,3506,1146,7725,4041,7045
3477,7331,4063,4376,4751,2651,3316
7550,3144,5277,4666,4610,6111,7147
6333,7640,1307,6524,1046,2547,4650
7664,0524,7675,5354,6711,4347,5420
2234,6110,7155,7653,0327,3420,5711
3244,2550,3223,3430,7610,3101,4365
1665,3416,6765,6540,1703,4154,0132
5401,1752,3066,1601,3221,4610,1647
0746,4461,6465,6725,1572,1062,3530
7305,4436,6474,5764,6064,0557,6704
1327,4367,5033,6265,3027,5143,2046
7005,3226,1212,6354,3547,4762,3515
4021,6454,5305,1653,1221,7774,0407
5474,7652,0002,1730,3740,5356,2140
2405,3752,2240,3353,3624,1266,7622
5523,3226,5425,6706,1075,5322,1677
7231,2133,7117,1500,5062,7554,2431
4104,4237,6171,0674,4630,4660,6204
6146,3005,7353,6516,5674,1547,5504
7364,1161,0227,7612,4713,5720,5226
3611,3171,2014,2120,1241,6117,6444
3306,7461,0046,5441,7022,4273,1174
5357,7312,7451,6634,5761,6376,1462
6251,0774,3261,6070,7705,7322,5427
7267,2114,6563,4433,0202,5411,4173
6700,4451,6216,7416,2707,0103,0020
3121,5316,3615,3121,5511,3663,5406
4234,2660,7374,6320,4325,7525,5073
0016,3076,6260,3177,4253,0640,0255
4355,7406,4730,6663,5570,3655,7652
5653,6224,0654,1332,7647,4376,6044
3734,5600,3223,1772,1557,2774,3310
2106,5701,4032,1446,7230,1037,5646
6642,7040,6037,3607,2017,0733,4660
5052,5111,1735,5135,7617,0066,1165
7222,5066,7162,3654,7670,1457,5102
6765,2371,2464,1455,0707,0722,4020
6143,6271,4272,5303,6664,5646,0174
2666,3316,4543,5673,3134,6450,2024
3047,1321,2721,3774,3040,2365,3311
2355,4046,7353,6776,7610,3277,3433
5501,7250,7142,0504,4533,3603,7245
7733,0235,4032,4231,3731,5047,2602
7661,5534,3614,7353,7032,6711,3546
5311,7750,2457,0031,7723,3467,2440
0213,0066,2051,3073,1732,4117,5143
4466,6563,1412,5360,0242,1021,3406
6634,1170,0552,1307,2147,4574,5262
4705,7202,1645,4760,0310,4577,3443
7575,1565,4746,5556,2617,2463,2774
5030,4460,6561,4433,7025,5136,7731
3762,0160,4200,2567,4071,7052,5010
2621,6344,7562,7566,2222,4716,6616
4065,3147,3772,3307,0520,3725,6607
7251,7213,3300,2573,5173,6107,2765
5361,6276,0553,4252,3566,0565,3146
2000,4722,0177,7467,4264,6147,7214
2535,1514,3612,3001,6122,5502,1567
4162,2641,6617,5321,6611,1021,5522
6210,0376,7202,5703,1205,4460,2223
0437,0101,4320,6125,7516,2354,4260
0514,4512,5326,1157,7530,5357,1627
5372,6565,3112,7165,1106,5660,3561
6121,5240,2220,6103,1170,3166,4261
2332,7472,7556,2233,4670,2233,1470
5352,4142,3374,7310,4303,2270,4405
7642,6022,4573,3550,0615,6251,2242
0037,2646,6013,7530,3102,2633,5265
1756,5000,1615,1257,4354,6765,1716
0170,4552,7230,2451,6105,0210,0017
7527,7151,3243,1071,2256,1154,4077
0072,4776,5655,7240,6224,6232,5654
6460,0126,2063,4644,5522,2733,4175
5470,2017,3450,6111,7063,5066,0736
0255,2360,1250,0060,0414,3724,6436
0730,4707,5716,4355,4314,5442,0534
7001,7430,3535,1572,7141,3456,2504
1541,7262,5402,7354,6244,0737,1773
1756,1612,2113,6404,1060,7100,6527
2046,6305,1562,6476,2545,0621,4757
6252,7106,7760,7343,2663,4414,3401
2077,1476,1423,2631,3607,0225,6363
1677,1405,6510,7454,5756,5515,5570
0263,3520,0452,7041,6273,1664,2250
5720,2460,2157,5371,7554,0425,1521
3717,2122,0224,7110,3506,6400,3173
7425,4072,1561,6727,0267,5023,1755
0220,6575,1407,5514,2134,5261,6372
1261,0100,2173,3243,0640,0267,0230
4536,1732,0055,3042,3565,6220,5470
7036,1657,1466,0765,4305,0610,7042
6652,4421,7043,4267,7575,4160,1733
0750,7442,7472,5410,7206,0470,6306
2677,2325,2177,0334,2662,4576,5521
2415,2230,6426,6557,7571,1250,0511
7733,5127,2776,2313,1130,1573,6266
3477,7010,4520,4507,2367,1347,0672
3123,4146,7475,5367,3323,4734,0612
5630,4010,7016,7223,3151,3753,3645
1600,2445,5174,1627,7516,7353,1423
5555,3631,0556,5726,5201,7314,7106
0614,7064,1510,1705,7412,2765,4110
2752,0374,3453,7040,5532,4554,1015
4637,3404,5432,6677,4545,5113,0352
5605,6553,2075,5370,1250,3325,4453
4752,4707,1353,7425,3631,3637,7442
4770,0737,4011,5407,3247,4256,3551
6661,2750,7170,4660,7375,2577,3124
6003,7324,7004,3160,7033,3461,7216
6014,6260,0625,3421,5245,1002,7141
4305,6371,0277,3762,7575,3445,1500
1524,6505,5660,7434,6246,6007,1570
7434,1454,3035,6103,1153,2003,5410
6352,1716,6413,4327,3120,0325,4205
5741,7341,5012,6613,1517,7621,2144
2646,1524,4742,3612,3533,6313,3576
1432,7421,2422,3114,1551,4112,0565
6752,2554,7273,0754,1435,2646,0727
3566,3412,1346,7043,7740,1136,0105
2571,7505,6726,1415,5033,7661,4163
2140,4772,7614,7663,2063,5755,2324
5211,4314,4024,6710,6402,3043,5015
5463,3006,4614,4370,1024,1033,1463
5116,3143,1155,2655,4453,5272,3222
1050,3526,1501,2177,1042,6030,2631
2051,0324,5251,3355,7245,3023,4732
0662,2433,5222,6640,3533,1605,7764
3602,0541,7702,1233,6106,0761,6706
7717,6306,2024,3120,0452,6666,7225
3367,4563,1434,6547,2235,2164,2104
3413,2051,0142,3603,2576,6346,7003
0426,7673,1761,0236,7704,5772,0042
5017,5502,5624,5665,1457,2637,0465
1615,1765,1255,3600,1244,6426,2365
7015,2227,3706,0612,5571,1240,4204
5640,5414,7350,0415,6732,5127,7510
4154,5470,2116,0041,7402,1250,4304
4470,2055,6163,4517,1111,0447,3013
2402,5040,3414,5226,3517,4473,7353
0167,7410,4012,3265,3505,2760,4407
4600,1376,0324,0323,6153,2202,0607
1701,1353,6530,4526,2576,1111,0242
3111,6503,5273,4756,4257,7747,7726
6205,3556,0752,4665,0576,6637,5373
7256,4547,0177,6501,3633,3354,1134
0745,4672,0206,2057,4413,2237,2662
3705,7166,3752,3031,5503,2071,5537
4305,0353,3741,5225,0076,5060,3471
4556,0504,0045,5421,1121,0423,6667
1245,6013,3557,6317,3263,2220,7261
6001,7251,7063,5000,4014,3247,7533
1503,1472,4763,0603,1753,4172,2560
3463,4734,4476,5134,7226,5172,7656
6010,1607,5541,7633,2710,3165,0465
0235,0757,6605,5130,5642,4537,3433
6034,4641,4036,3063,5004,7127,4100
5362,6230,4637,2177,6217,0074,4067
5350,6762,5425,1506,4476,4266,7470
3200,4506,2405,6203,7651,7232,6453
5225,5760,5275,7514,2102,6401,5523
3353,1511,7226,6415,2061,7312,0401
4461,2275,2127,6416,1433,0155,2633
3466,1635,0110,3243,1375,6441,1452
3712,1216,4443,2105,3723,6111,1742
7464,7274,7175,3472,0652,7614,5057
2463,7506,7746,0273,3616,7017,4162
5120,7306,4222,3360,3452,5762,7744
0733,0254,7512,7410,0372,7662,3254
1121,6467,3444,6445,3232,7676,7520
5354,7752,4573,5507,4625,4643,3347
2057,7551,3465,6173,3413,2236,5273
1027,6350,4707,3540,0003,3210,7002
5075,7330,1661,1337,1142,6647,5745
4043,3370,1660,1045,3552,0316,0540
2743,1326,5160,7102,0527,3561,1041
4476,1645,1151,1035,4735,0503,3525
0065,6465,6672,4121,5607,0157,2064
2340,3532,3300,5245,1345,2523,4566
6601,5710,3370,7577,5261,5571,2677
2324,0126,3075,1553,1721,6672,6231
7204,4571,1254,6257,7145,3133,0620
1006,6770,0057,6023,0437,7774,7116
5341,4566,4301,3466,4737,1566,2561
6320,5454,1745,7533,4430,3213,2131
6030,4774,7324,2146,6371,5542,1543
3142,7422,0636,2433,4365,6023,6526
0062,6242,0323,0111,4614,1233,5207
5034,7253,4361,7530,6322,5076,6562
3126,0442,7372,2735,5365,3075,3356
7765,7752,7756,1377,5524,5675,7611
7574,2060,0242,1443,3375,6650,3045
6233,0600,2726,1157,2563,1600,0064
2356,6623,2542,0214,0563,6165,4544
0722,3166,3143,5501,2422,5007,3152
6013,1541,6564,1236,0274,7424,5540
2673,7440,7711,0544,1110,0142,0263
5313,6752,1557,2242,2720,2263,1170
2740,2342,7546,0321,4212,0510,3065
1157,0063,0125,5275,7010,1534,4206
1157,3445,5221,7667,2206,1340,0146
2710,5031,2503,1016,2632,2302,4762
3102,0213,0210,5643,4035,4752,3142
7125,6316,3747,6625,0031,3724,7321
4420,6133,4162,3547,3363,4337,4616
1213,2135,1111,5367,6112,0072,0572
7527,7664,0460,4032,2336,1733,2726
6045,5767,4101,5563,5313,3170,4723
6540,3604,1434,7110,2475,4611,3252
4154,4033,4255,1623,5552,4424,5656
7405,6024,1116,7137,7575,5626,3731
6015,6212,5140,0327,5360,7115,1554
2712,2154,5447,3136,1501,3635,7365
3154,7337,3530,5247,0760,5710,1063
7361,5737,7225,4002,3435,4521,5000
0316,1176,2676,0777,0576,5140,4326
0156,3501,0106,4146,4605,0177,4000
7326,1137,5064,2474,3416,7121,3127
7560,3220,7336,7121,3237,2306,3731
3016,7416,5572,1564,5554,2631,1547
3316,2166,6507,7651,2602,4123,4724
0005,4675,0001,2020,6021,1332,6425
2501,5135,7333,2746,1135,0026,5074
7656,2056,1710,3001,3427,4360,5215
0323,3216,5034,4753,7730,4133,7263
2417,2005,1152,5743,3263,6701,2001
6231,4273,3042,5662,0232,5417,0140
0370,0752,3763,0241,3221,7027,3652
0063,2073,1335,7712,4503,1100,6311
2575,3220,3713,5153,0454,0725,4245
5761,7747,3753,3723,3536,6533,6220
5577,4022,2060,0620,1006,3653,3177
0426,1125,5120,5166,3752,1222,6770
7132,3553,5024,7114,0226,3475,2537
4062,6323,6704,0446,5760,4413,4771
4634,1156,1625,3262,3156,7116,4523
2613,7335,4566,3244,5701,0245,3616
2653,3207,4764,2662,5726,6202,3223
5235,4127,4750,4414,0073,6473,3275
3671,5500,3316,7726,0623,5051,6062
6133,5051,5015,7735,7313,7334,5246
0402,4005,3130,3011,3632,1674,3351
3622,0342,1276,2603,2734,7115,2600
4661,6356,6442,5261,3354,5177,0714
1772,5443,0430,4030,7553,1233,4022
4165,7125,5335,1636,0162,5124,4620
7134,2777,4740,7604,2601,4070,2361
5655,3341,0467,6176,6234,2547,3157
1020,6017,3344,5777,4511,3104,5356
1507,4062,1032,7357,6726,0256,1545
7604,4077,6612,3345,5605,3772,2515
5141,5055,0021,3331,7011,6726,4235
2421,7160,2301,7774,5277,6064,1205
5274,6615,1616,2522,0621,6062,6334
3067,2401,2103,7004,7442,4731,7125
3622,4611,5026,2153,0730,6707,0366
4172,6654,0323,0533,4053,0130,1533
5103,7453,6741,2612,2317,4000,2465
4361,4056,2140,3476,3673,5165,3640
4400,1425,2312,2107,1365,4404,1411
7277,2656,5516,3174,6127,0030,7602
6763,4046,6433,0575,5637,0331,3563
5015,6140,0222,3037,1536,4144,4257
0077,7767,3267,2374,7700,3405,6362
3262,7636,0566,2016,3742,0171,0024
0415,0151,7432,4671,2211,4755,3461
0250,6043,3002,4556,2727,1734,1515
6562,5475,7273,4625,1200,3420,1162
2515,2761,5012,0664,7517,4243,0615
4562,6505,6166,4051,3047,6345,6613
2036,1206,2720,0277,3461,4216,1666
1326,1345,1376,0422,0056,4322,6104
7376,3060,7134,3357,5344,5104,2561
2643,1742,1340,5312,1266,7346,1150
6751,1703,7713,0157,2556,4231,4113
2131,4726,4534,4754,3752,6330,5015
3143,3433,3463,6610,3024,6231,6175
6062,5634,3671,4131,1153,0431,3446
7171,5242,3133,0477,7470,0273,0104
5400,3356,6436,1140,7462,6645,3166
5750,0664,6514,2757,6157,3271,0040
3043,2036,2753,5317,4101,0425,6555
4236,3326,1245,4141,6357,3760,4014
5336,0314,4720,7172,2071,7427,2537
2346,2471,5550,2522,3314,6111,4514
5552,6513,6702,2403,7224,4624,7513
0620,3322,1162,0637,3072,7053,4373
7714,4166,4626,5074,5407,5010,5563
2245,1501,2675,7555,6761,7211,5671
6404,2534,4730,4621,5424,7222,2101
3426,1047,1004,4565,5375,6430,3036
4437,2647,7615,6106,1661,1062,0667
2650,5013,5013,0652,3151,2322,2662
3666,6473,1010,5740,0653,6576,1557
2275,1157,0406,0422,4774,7360,0101
2265,5602,1441,7367,1523,5351,4464
7355,5252,0372,7775,1505,1261,6422
4262,3362,6046,4207,5310,3412,0713
1034,5237,3477,7235,5044,2335,4511
3730,1243,1725,7536,0020,0123,2420
4032,4541,7762,0662,4713,4452,6253
6063,5210,1765,5770,7515,2111,2070
5566,6741,1271,4115,6331,7064,4147
2225,0737,7172,5642,0566,2415,6020
3027,5130,4025,2040,0465,4246,1314
5211,2311,7663,7460,4264,7673,3460
4176,0105,0032,7433,6603,0403,6555
0430,3530,6217,6465,5014,6751,2451
1354,0460,1144,4562,1301,3153,2563
4713,4651,6560,6374,0170,5516,6617
4504,3513,3252,2514,6165,1135,3100
7140,5121,1126,5323,3616,5054,2020
2514,6561,6235,5752,1461,1764,5047
2307,4765,6002,6547,3242,5575,4307
5730,3014,6334,3033,6253,6161,6527
6533,2042,5401,4227,1020,2320,1555
3606,5715,0430,5534,4574,1264,4272
1450,7117,2434,2312,7734,1204,2250
2504,6431,6641,5326,6013,6723,7035
3523,0260,6572,3615,0176,4104,6657
3777,1011,3477,6467,7303,1656,1255
2744,1711,3665,0125,3026,1771,2561
6761,0704,6076,5756,0270,4764,6051
2342,6552,4201,1007,1161,6171,6227
2121,0273,5777,5662,1210,2027,2733
2031,7046,6661,0614,6475,3127,7737
7114,5625,6376,4213,4270,0632,7333
5136,3251,3736,7470,2137,7214,6436
5762,7776,6217,3123,5107,1532,0437
1503,4755,0143,7036,0421,0723,2642
7537,2000,4244,3344,0077,4013,0050
0327,4125,0004,7102,6241,1342,4272
6756,0361,6271,4227,1556,0661,3360
7714,1122,0143,5110,0137,4305,4113
3564,3006,4071,4074,2340,0461,2724
7700,3312,7411,3745,0007,5112,3164
1702,0104,5043,4140,3535,7624,6161
5137,6330,0152,4164,0535,4567,6705
1342,5312,5070,3174,5055,3524,0003
6645,7573,5343,1566,5246,5351,1737
4123,2716,6024,0241,0106,4470,6742
2405,6545,0255,6375,7535,3776,0232
5145,5731,6046,7763,2216,1261,7104
5022,0372,0156,1546,0671,3222,7237
0735,0117,0673,7241,1674,3125,7574
5463,6246,2232,7036,3163,1000,2377
1631,6022,3114,5772,2565,3315,2730
3260,6652,4061,6724,4503,7215,7041
3715,1316,2037,0744,2575,0634,4074
2641,0604,7164,3505,0127,7115,1541
7221,1513,3523,7215,7254,6555,3166
2236,4163,2066,7201,4007,7167,7074
0407,4422,5061,0610,1774,6144,4604
0303,2001,6106,7102,1565,5410,1737
0513,2724,3433,2541,1362,2431,0044
5172,5015,7035,3064,2075,3763,1500
1405,7131,5025,4202,5524,2421,3564
2772,4221,0060,3240,3730,4565,3614
6610,4716,7453,6400,1274,1001,3052
2267,5460,6541,5177,2767,6037,0302
5147,6412,7033,6357,5544,3616,5024
3660,5760,7511,2755,2242,0000,1531
2452,2145,7760,1616,7307,2162,7302
3514,3116,3062,5777,0523,0025,6013
0031,2406,5241,5453,4267,0246,3344
5522,7370,4722,3033,7122,4351,1437
3452,1647,1561,3602,7104,2006,1021
7377,2612,1223,1366,5111,4072,1417
0352,5613,2240,4776,0567,5360,4642
2405,3463,3104,4357,4700,5705,3456
2212,6456,0606,3153,0457,1133,5526
6042,1273,2540,7033,3301,7601,6372
7712,6405,1452,0166,3705,0703,0725
3321,3256,1371,5115,3541,4374,7033
2125,3744,1772,0565,4116,0312,4231
2231,7652,2424,0042,2736,1243,0053
4750,6266,6141,0606,0013,4340,7411
7705,2330,5170,2300,3460,2105,1671
0106,2627,5406,2045,2156,5602,6107
7047,7606,6776,4476,3667,6146,2714
0564,2303,5420,5667,1234,5251,1572
4574,5046,5231,3624,3330,2644,5101
3522,5075,1000,2260,6314,4146,0164
1562,4156,4605,3715,4077,5471,2531
3155,5712,3223,6577,5655,3637,7060
5117,1666,2266,7167,2644,5673,3140
7357,7712,0343,1245,4311,5553,6107
4343,0267,1205,0203,5033,1716,6460
0555,0526,3430,4115,1522,5612,2071
5042,6546,0613,4431,1510,3125,1357
7056,4033,6615,6013,3225,6533,2041
1077,4037,3633,1200,3024,1064,5367
4114,1677,4464,6442,6354,5725,6446
1166,6244,4021,3740,1506,4633,0605
5020,1546,5472,5773,3477,5315,0403
2214,4636,7712,5151,7130,4722,0543
0315,2222,0506,7732,6315,7226,4626
7477,4303,6134,3141,4507,6773,6166
5566,5455,1041,5127,4024,5552,2345
5144,1763,2157,2560,4556,0311,0116
6422,6627,7744,3077,7532,7570,0401
1612,3466,2324,1160,2551,7611,1776
7447,3426,6154,2606,7267,7702,5767
4125,0624,2064,6261,5673,0561,0624
0176,2706,1333,4270,2071,7616,0052
1617,1273,7317,1511,6301,2036,0541
4737,6213,4136,7775,7370,7435,1262
4262,2116,2205,6451,3512,4100,6257
5372,3176,0041,6505,3215,1760,0157
2555,3674,6265,7104,1631,1501,3002
2473,7611,2672,5772,1347,6000,2715
2370,0334,2355,0136,6163,7676,3072
4042,1753,5205,7232,3356,1077,4503
4272,1454,7474,5570,4751,1724,7566
7230,5630,1011,1115,6261,1201,2226
2756,7247,2236,4672,1311,1123,1007
7177,0501,7436,4107,7507,5740,5145
6145,3751,2220,4747,0137,3452,1627
6505,2616,1014,2475,6472,6006,7743
1367,2452,0007,2451,6261,4703,3514
2677,0074,0655,2526,6605,2331,6721
5047,7211,1030,2461,6631,5367,7356
0172,6740,1417,1435,4074,4712,7052
3740,6745,2766,6014,2632,7765,7641
3231,0545,0544,5140,6601,2211,2214
2762,0450,7112,1556,5602,3736,5021
4155,0167,7651,3537,2202,2457,3374
2226,4371,2125,2466,3162,0645,7543
0175,1433,4457,2261,5205,6734,6136
0461,7617,3346,7061,4204,2443,0322
4347,0625,4472,2336,3705,1717,2431
7601,4642,3707,0671,7775,1227,7524
2336,1631,4241,7256,1025,7060,1747
4322,7736,0022,1500,0266,0002,2132
3137,7222,5434,1321,1556,2014,2542
6012,5443,0052,2541,2356,2137,2721
4732,3275,4675,0636,4003,0147,4326
0070,5241,6543,6102,7565,1456,5740
6332,0030,4255,6706,7357,4102,1362
4372,2517,5560,3517,6635,3425,1144
4473,7310,7727,1143,6272,0003,4326
4137,7403,4430,0117,1305,4136,1746
0414,4306,2571,0725,7733,3766,6310
4734,6430,0224,5037,5637,5007,7341
1321,0247,4201,5215,2503,5552,4074
3556,7271,0603,0206,4503,0103,7277
0723,1461,4070,4227,5562,6511,2355
3053,7723,3514,2404,4521,7626,3262
5537,5455,1221,7426,6100,0551,6632
3316,5564,5160,7457,6551,4112,5017
5550,5017,0161,7643,5470,3704,2102
2306,1730,7007,2343,4734,1512,0222
5473,2211,4424,1622,1707,4561,2031
7570,6071,0041,5745,6642,4201,4533
4465,1711,5414,6715,3660,6173,7404
4175,0152,3303,7207,7605,1675,2447
